file_index,file_name,timestep,dominant_mode,estimated_wave_number
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,44,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,45,"(0,1)",1.000
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,0,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,1,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,2,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,3,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,4,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,5,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,6,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,7,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,8,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,9,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,10,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,11,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,12,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,13,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,14,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,15,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,16,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,17,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,18,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,19,"(1,-1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,20,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,21,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,22,"(1,1)",1.414
7,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file7.mat,23,"(1,1)",1.414
